         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2:24         290         290         290         290               290         290           1
10/ 7/2018  0: 2:27         300         300         300         300               300         295           1
10/ 7/2018  9: 2:46         310         310         310         310               310         300           1
10/ 7/2018  9: 2:49         300         300         300         300               300         300           1
10/ 7/2018 10: 2: 4         310         310         310         310               310         302           1
10/ 7/2018 10: 2: 5         300         300         300         300               300     301.667           1
10/ 7/2018 10: 2: 6         310         310         310         310               310     302.857           1
10/ 7/2018 10: 2:53         300         300         300         300               300       302.5           1
10/ 7/2018 10: 2:54         310         310         310         310               310     303.333           1
10/ 7/2018 10: 2:57         300         300         300         300               300         303           1
10/ 7/2018 11: 2: 1         310         310         310         310               310     303.636           1
10/ 7/2018 11: 2: 2         300         300         300         300               300     303.333           1
10/ 7/2018 11: 2: 6         310         310         310         310               310     303.846           1
10/ 7/2018 12: 2:27         300         300         300         300               300     303.571           1
10/ 7/2018 12: 2:29         310         310         310         310               310         304           1
10/ 7/2018 12: 2:34         300         300         300         300               300      303.75           1
10/ 7/2018 12: 2:49         310         310         310         310               310     304.118           1
10/ 7/2018 12: 2:53         300         300         300         300               300     303.889           1
10/ 7/2018 14: 2:12         310         310         310         310               310     304.211           1
10/ 7/2018 14: 2:17         300         300         300         300               300         304           1
10/ 7/2018 14: 2:42         310         310         310         310               310     304.286           1
10/ 7/2018 14: 2:44         300         300         300         300               300     304.091           1
10/ 7/2018 15: 2:13         310         310         310         310               310     304.348           1
10/ 7/2018 15: 2:14         300         300         300         300               300     304.167           1
10/ 7/2018 18: 2:10         310         310         310         310               310       304.4           1
10/ 7/2018 18: 2:20         300         300         300         300               300     304.231           1
10/ 7/2018 18: 2:28         310         310         310         310               310     304.444           1
10/ 7/2018 18: 2:31         300         300         300         300               300     304.286           1
10/ 7/2018 18: 2:32         310         310         310         310               310     304.483           1
10/ 7/2018 18: 2:36         300         300         300         300               300     304.333           1
10/ 7/2018 18: 2:38         310         310         310         310               310     304.516           1
10/ 7/2018 25: 2:25         300         300         300         300               300     304.375           1
10/ 7/2018 25: 2:27         310         310         310         310               310     304.545           1
10/ 7/2018 25: 2:44         300         300         300         300               300     304.412           1
10/ 7/2018 25: 2:46         310         310         310         310               310     304.571           1
10/ 7/2018 25: 2:48         300         300         300         300               300     304.444           1
10/ 7/2018 32: 2:28         310         310         310         310               310     304.595           1
10/ 7/2018 32: 2:30         300         300         300         300               300     304.474           1
10/ 7/2018 32: 2:37         310         310         310         310               310     304.615           1
10/ 7/2018 32: 2:38         300         300         300         300               300       304.5           1
10/ 7/2018 33: 2: 1         310         310         310         310               310     304.634           1
10/ 7/2018 33: 2: 3         300         300         300         300               300     304.524           1
10/ 7/2018 33: 2: 6         310         310         310         310               310     304.651           1
10/ 7/2018 33: 2:26         300         300         300         300               300     304.545           1
10/ 7/2018 38: 2: 3         310         310         310         310               310     304.667           1
10/ 7/2018 38: 2: 5         300         300         300         300               300     304.565           1
10/ 7/2018 38: 2: 6         310         310         310         310               310     304.681           1
10/ 7/2018 50: 2:27         320         320         320         320               320         305           1
10/ 7/2018 50: 2:30         310         310         310         310               310     305.102           1
10/ 7/2018 51: 2: 0         320         320         320         320               320       305.4           1
10/ 7/2018 51: 2:15         310         310         310         310               310      305.49           1
10/ 7/2018 51: 2:17         320         320         320         320               320     305.769           1
10/ 7/2018 51: 2:23         310         310         310         310               310     305.849           1
10/ 7/2018 54: 2: 4         320         320         320         320               320     306.111           1
10/ 7/2018 54: 2: 6         310         310         310         310               310     306.182           1
10/ 7/2018 54: 2:17         320         320         320         320               320     306.429           1
10/ 7/2018 54: 2:26         310         310         310         310               310     306.491           1
10/ 7/2018 54: 2:37         320         320         320         320               320     306.724           1
10/ 7/2018 54: 2:43         310         310         310         310               310      306.78           1
10/ 7/2018 54: 2:44         320         320         320         320               320         307           1
10/ 7/2018 54: 2:45         310         310         310         310               310     307.049           1
10/ 7/2018 54: 2:50         320         320         320         320               320     307.258           1
