         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 3          90          90          90          90               90               90
 2/ 7/2018 10:16: 8          80          80          80          80               80               85
 2/ 7/2018 10:16:48          90          90          90          90               90          86.6667
 2/ 7/2018 10:20: 9          80          80          80          80               80               85
 2/ 7/2018 10:20:15          90          90          90          90               90               86
 2/ 7/2018 10:20:16          80          80          80          80               80               85
 2/ 7/2018 10:20:30          90          90          90          90               90          85.7143
 2/ 7/2018 10:20:31          80          80          80          80               80               85
 2/ 7/2018 10:20:32          90          90          90          90               90          85.5556
 2/ 7/2018 10:20:33          80          80          80          80               80               85
 2/ 7/2018 10:27:54          90          90          90          90               90          85.4545
 2/ 7/2018 10:54: 9          80          80          80          80               80               85
 2/ 7/2018 11: 0:53          90          90          90          90               90          85.3846
 2/ 7/2018 11:10:25          80          80          80          80               80               85
 2/ 7/2018 11:10:37          90          90          90          90               90          85.3333
 2/ 7/2018 11:37: 6          80          80          80          80               80               85
 2/ 7/2018 11:37: 7          90          90          90          90               90          85.2941
 2/ 7/2018 11:37:57          80          80          80          80               80               85
 2/ 7/2018 11:39:44          90          90          90          90               90          85.2632
 2/ 7/2018 11:39:47          80          80          80          80               80               85
 2/ 7/2018 11:40:40          90          90          90          90               90          85.2381
 2/ 7/2018 11:40:43          80          80          80          80               80               85
 2/ 7/2018 11:40:44          90          90          90          90               90          85.2174
 2/ 7/2018 11:41:11          80          80          80          80               80               85
 2/ 7/2018 11:41:12          90          90          90          90               90             85.2
 2/ 7/2018 11:42: 9          80          80          80          80               80               85
 2/ 7/2018 11:42:11          90          90          90          90               90          85.1852
 2/ 7/2018 11:42:12          80          80          80          80               80               85
 2/ 7/2018 11:42:14          90          90          90          90               90          85.1724
 2/ 7/2018 11:44:39          80          80          80          80               80               85
 2/ 7/2018 11:44:40          90          90          90          90               90          85.1613
 2/ 7/2018 11:44:41          80          80          80          80               80               85
 2/ 7/2018 11:45:21          90          90          90          90               90          85.1515
 2/ 7/2018 11:45:22          80          80          80          80               80               85
 2/ 7/2018 11:45:23          90          90          90          90               90          85.1429
 2/ 7/2018 11:46:30          80          80          80          80               80               85
 2/ 7/2018 11:46:31          80          80          80          80               80          84.8649
 2/ 7/2018 11:46:32          80          80          80          80               80          84.7368
 2/ 7/2018 11:46:44          90          90          90          90               90          84.8718
 2/ 7/2018 11:46:45          80          80          80          80               80            84.75
 2/ 7/2018 11:46:47          90          90          90          90               90           84.878
 2/ 7/2018 11:46:48          80          80          80          80               80          84.7619
 2/ 7/2018 11:47: 3          90          90          90          90               90          84.8837
 2/ 7/2018 11:48:22          80          80          80          80               80          84.7727
 2/ 7/2018 11:50: 6          90          90          90          90               90          84.8889
 2/ 7/2018 11:50: 7          80          80          80          80               80          84.7826
 2/ 7/2018 11:50:17          90          90          90          90               90          84.8936
 2/ 7/2018 11:50:38          80          80          80          80               80          84.7917
 2/ 7/2018 11:51:44          90          90          90          90               90           84.898
 2/ 7/2018 11:51:46          80          80          80          80               80             84.8
 2/ 7/2018 11:52: 9          90          90          90          90               90           84.902
 2/ 7/2018 11:52:10          80          80          80          80               80          84.8077
 2/ 7/2018 11:52:47          90          90          90          90               90          84.9057
 2/ 7/2018 11:52:51          80          80          80          80               80          84.8148
 2/ 7/2018 11:53:15          90          90          90          90               90          84.9091
 2/ 7/2018 11:53:20          80          80          80          80               80          84.8214
 2/ 7/2018 11:53:21          80          80          80          80               80          84.7368
