         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2:34         110         110         110         110               110         110           1
11/ 7/2018 12: 2:10         100         100         100         100               100         105           1
11/ 7/2018 32: 2:12         110         110         110         110               110     106.667           1
11/ 7/2018 32: 2:16         100         100         100         100               100         105           1
11/ 7/2018 34: 2: 0         110         110         110         110               110         106           1
11/ 7/2018 37: 2:51         100         100         100         100               100         105           1
11/ 7/2018 48: 2:44         110         110         110         110               110     105.714           1
11/ 7/2018 52: 2:28         100         100         100         100               100         105           1
11/ 7/2018 52: 2:29         110         110         110         110               110     105.556           1
11/ 7/2018 52: 2:30         100         100         100         100               100         105           1
11/ 7/2018 52: 2:31         110         110         110         110               110     105.455           1
11/ 7/2018 54: 2:13         100         100         100         100               100         105           1
12/ 7/2018  5: 2:53         110         110         110         110               110     105.385           1
12/ 7/2018  5: 2:58         100         100         100         100               100         105           1
12/ 7/2018  8: 2:41         110         110         110         110               110     105.333           1
12/ 7/2018  8: 2:50         100         100         100         100               100         105           1
12/ 7/2018  9: 2:16         110         110         110         110               110     105.294           1
12/ 7/2018 11: 2: 9         100         100         100         100               100         105           1
12/ 7/2018 11: 2:13         110         110         110         110               110     105.263           1
12/ 7/2018 12: 2:54         100         100         100         100               100         105           1
14/ 7/2018  0: 2:25         100         100         100         100               100     104.762           1
16/ 7/2018 11: 2:55         110         110         110         110               110         105           1
16/ 7/2018 32: 2:31         100         100         100         100               100     104.783           1
16/ 7/2018 32: 2:32         110         110         110         110               110         105           1
16/ 7/2018 34: 2:26         100         100         100         100               100       104.8           1
16/ 7/2018 34: 2:28         110         110         110         110               110         105           1
16/ 7/2018 34: 2:30         100         100         100         100               100     104.815           1
16/ 7/2018 34: 2:31         110         110         110         110               110         105           1
16/ 7/2018 34: 2:34         100         100         100         100               100     104.828           1
16/ 7/2018 37: 2:16         110         110         110         110               110         105           1
16/ 7/2018 52: 2:42         100         100         100         100               100     104.839           1
17/ 7/2018 37: 2:14         100         100         100         100               100     104.688           2
