         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0:34         310         310         310         310       25000              310     7750000     7750000       25000              310
 2/ 7/2018 10: 1: 5         300         300         300         300       25000              300     7500000    15250000       50000              305
 2/ 7/2018 10: 3:41         290         290         290         290       25000              290     7250000    22500000       75000              300
 2/ 7/2018 10: 3:50         300         300         290         290       25000          293.333     7333333    29833333      100000          298.333
 2/ 7/2018 10: 3:54         300         300         300         300       25000              300     7500000    37333333      125000          298.667
 2/ 7/2018 10: 3:58         290         290         290         290       25000              290     7250000    44583333      150000          297.222
 2/ 7/2018 10: 5:18         280         280         280         280       25000              280     7000000    51583333      175000          294.762
 2/ 7/2018 10: 5:19         290         290         290         290       25000              290     7250000    58833333      200000          294.167
 2/ 7/2018 10: 5:21         280         280         280         280       25000              280     7000000    65833333      225000          292.593
 2/ 7/2018 10: 6: 9         290         290         290         290       25000              290     7250000    73083333      250000          292.333
 2/ 7/2018 10: 7:21         280         280         280         280       25000              280     7000000    80083333      275000          291.212
 2/ 7/2018 10: 7:22         290         290         290         290       25000              290     7250000    87333333      300000          291.111
 2/ 7/2018 10: 7:24         280         280         280         280       25000              280     7000000    94333333      325000          290.256
 2/ 7/2018 10: 8:15         290         290         290         290       25000              290     7250000   101583333      350000          290.238
 2/ 7/2018 10: 8:18         280         280         280         280       25000              280     7000000   108583333      375000          289.556
 2/ 7/2018 10: 9:25         290         290         290         290       25000              290     7250000   115833333      400000          289.583
 2/ 7/2018 10:17:50         300         300         300         300       25000              300     7500000   123333333      425000          290.196
 2/ 7/2018 10:22:21         290         290         290         290       25000              290     7250000   130583333      450000          290.185
 2/ 7/2018 10:23: 1         300         300         300         300       25000              300     7500000   138083333      475000          290.702
 2/ 7/2018 10:23:19         290         290         290         290       25000              290     7250000   145333333      500000          290.667
 2/ 7/2018 10:23:20         300         300         300         300       25000              300     7500000   152833333      525000          291.111
 2/ 7/2018 10:23:22         290         290         290         290       25000              290     7250000   160083333      550000          291.061
 2/ 7/2018 10:23:24         300         300         300         300       25000              300     7500000   167583333      575000          291.449
 2/ 7/2018 10:23:27         290         290         290         290       25000              290     7250000   174833333      600000          291.389
 2/ 7/2018 11:12:20         280         280         280         280       25000              280     7000000   181833333      625000          290.933
